Logging to: /home/nitish/Documents/AIF_code/Active-Inference/Symbolic_AIF_v6/habitat_adapter/../results/demo_20260622_143513.txt

Device : cuda
Loading WorldModelV6 (Faster R-CNN + EKF)... OK  (248,064 learnable params)
Starting Habitat-Sim... OK

Start pose (V6) : (2.02, -0.94, 0.0°)
Goal  (V6)      : (-5.02, -0.11)
Geodesic dist   : infm

Step |  Action |               Pose (x, y, θ) | GoalDist | Dets | Slots |     ms
--------------------------------------------------------------------------------
   1 |  TURN_L | (  2.02,  -0.94,   0.0°) |    7.094m |    0 |     0 |    610
   2 |  TURN_L | (  2.02,  -0.94,  30.0°) |    7.094m |    0 |     0 |    102
   3 |  TURN_L | (  2.02,  -0.94,  60.0°) |    7.094m |    0 |     0 |     82
   4 |  TURN_L | (  2.02,  -0.94,  90.0°) |    7.094m |    0 |     0 |    112
   5 |  TURN_L | (  2.02,  -0.94, 120.0°) |    7.094m |    0 |     0 |     91
   6 | FORWARD | (  2.02,  -0.94, 150.0°) |    7.094m |    1 |     1 |    106
   7 | FORWARD | (  1.81,  -0.81, 150.0°) |    6.865m |    0 |     1 |    136
   8 | FORWARD | (  1.59,  -0.69, 150.0°) |    6.638m |    0 |     1 |     99
   9 | FORWARD | (  1.37,  -0.56, 150.0°) |    6.412m |    0 |     1 |    110
  10 | FORWARD | (  1.16,  -0.44, 150.0°) |    6.188m |    0 |     1 |    117
  11 | FORWARD | (  0.94,  -0.31, 150.0°) |    5.966m |    0 |     1 |    104
  12 | FORWARD | (  0.71,  -0.18, 150.0°) |    5.738m |    1 |     1 |    107
  13 | FORWARD | (  0.47,  -0.05, 150.0°) |    5.496m |    1 |     1 |    118
  14 | FORWARD | (  0.26,   0.08, 150.0°) |    5.283m |    0 |     1 |    107
  15 |  TURN_L | (  0.04,   0.20, 150.0°) |    5.072m |    0 |     1 |    100
  16 | FORWARD | (  0.04,   0.20, 180.0°) |    5.072m |    0 |     1 |    117
  17 | FORWARD | ( -0.21,   0.20, 180.0°) |    4.823m |    0 |     1 |    108
  18 | FORWARD | ( -0.46,   0.20, 180.0°) |    4.573m |    0 |     1 |    101
  19 | FORWARD | ( -0.71,   0.20, 180.0°) |    4.324m |    0 |     1 |    117
  20 | FORWARD | ( -0.96,   0.20, 180.0°) |    4.075m |    0 |     1 |    108
  21 | FORWARD | ( -1.21,   0.20, 180.0°) |    3.825m |    0 |     1 |    101
  22 | FORWARD | ( -1.46,   0.20, 180.0°) |    3.576m |    1 |     2 |    119
  23 | FORWARD | ( -1.71,   0.20, 180.0°) |    3.327m |    0 |     2 |    123
  24 | FORWARD | ( -1.96,   0.20, 180.0°) |    3.079m |    0 |     2 |     91
  25 | FORWARD | ( -2.21,   0.20, 180.0°) |    2.830m |    0 |     2 |    118
  26 | FORWARD | ( -2.46,   0.20, 180.0°) |    2.582m |    0 |     2 |    110
  27 | FORWARD | ( -2.71,   0.20, 180.0°) |    2.334m |    0 |     2 |     99
  28 | FORWARD | ( -2.96,   0.20, 180.0°) |    2.086m |    0 |     2 |    118
  29 | FORWARD | ( -3.21,   0.20, 180.0°) |    1.839m |    0 |     2 |    107
  30 |  TURN_L | ( -3.46,   0.20, 180.0°) |    1.594m |    0 |     2 |    102
  31 | FORWARD | ( -3.46,   0.20, -150.0°) |    1.594m |    0 |     2 |    118
  32 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    107
  33 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    102
  34 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    117
  35 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    107
  36 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    101
  37 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    117
  38 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    108
  39 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    103
  40 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    117
  41 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    108
  42 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    102
  43 |  TURN_R | ( -3.68,   0.08, -120.0°) |    1.359m |    0 |     2 |    118
  44 |  TURN_L | ( -3.68,   0.08, -150.0°) |    1.359m |    0 |     2 |    108
